,country,lat,lon,internet_users,population,population_rank,percentage,users_rank
0,China,35.86166,104.195397,765367947,1409517397,1,0.5429999999999999,116
1,India,20.593684,78.96288,461347554,1339180127,2,0.34450000000000003,145
2,United States,37.09024,-95.712891,244090854,324459463,3,0.7523000000000001,68
3,Brazil,-14.235004,-51.92528,141206801,209288278,4,0.6747,83
4,Japan,36.204824,138.252924,115845120,127484450,5,0.9087000000000001,23
5,Russia,61.52401,105.31875600000001,109446612,143989754,6,0.7601,64
6,Indonesia,-0.789275,113.921327,85242816,263991379,7,0.32289999999999996,150
7,Mexico,23.634501,-102.552784,82470752,129163276,8,0.6385000000000001,92
8,Germany,51.165690999999995,10.451526,69304405,82114224,9,0.8440000000000001,36
9,Philippines,12.879721,121.77401699999999,63003313,104918090,10,0.6004999999999999,103
10,United Kingdom,55.378051,-3.435973,62621016,66181585,11,0.9462,18
11,Pakistan,30.375321000000003,69.345116,61837331,220800300,25,0.3068,184
12,France,46.227638,2.213749,52308536,64979548,13,0.805,50
13,Turkey,38.963745,35.243322,52225879,80745020,14,0.6468,89
14,Iran,32.427908,53.68804599999999,49038556,81162788,15,0.6042000000000001,101
15,South Korea,35.907757000000004,127.766922,48484084,50982212,16,0.951,15
16,Vietnam,14.058323999999999,108.277199,47359575,95540800,17,0.49570000000000003,122
17,Egypt,26.820553000000004,30.802497999999996,43850141,97553151,18,0.4495,132
18,Spain,40.463667,-3.7492199999999998,39215756,46354321,19,0.846,33
19,Thailand,15.870032,100.992541,36513941,69037513,20,0.5289,117
20,Italy,41.87194,12.56738,36387619,59359900,21,0.613,98
21,Canada,56.130366,-106.34677099999999,33950632,36624199,22,0.927,22
22,Argentina,-38.416097,-63.616671999999994,33561876,44271041,23,0.7581,67
23,South Africa,-30.559482,22.937506,31858027,56717156,24,0.5617,111
24,Nigeria,9.081999,8.675277000000001,30557175,190015955,12,0.2751,161
25,Colombia,4.570868,-74.297333,30548252,49065615,26,0.6225999999999999,96
26,Bangladesh,23.684994,90.35633100000001,30530435,164669751,27,0.1802,180
27,Poland,51.919438,19.145135999999997,29005924,38170712,28,0.7598999999999999,66
28,Saudi Arabia,23.885942,45.079162,27048861,32938213,29,0.8212,39
29,Malaysia,4.210483999999999,101.97576600000001,25343685,31624264,30,0.8014,52
30,Ukraine,48.379433,31.16558,25260147,44222947,31,0.5711999999999999,109
31,Morocco,31.791702,-7.09262,22072765,35739580,32,0.6175999999999999,97
32,Taiwan,23.69781,120.96051499999999,21920626,23626456,33,0.9278,21
33,Australia,-25.274398,133.775136,21159515,24450561,34,0.8654000000000001,31
34,Venezuela,6.42375,-66.58973,20564451,31977065,35,0.6431,91
35,Algeria,28.033886,1.6596259999999998,19704622,41318142,36,0.4769,130
36,Ethiopia,9.145,40.489672999999996,19543075,104957438,37,0.1862,179
37,Iraq,33.223191,43.679291,18892351,38274618,38,0.4936,123
38,Uzbekistan,41.377491,64.585262,16692456,31910641,39,0.5231,118
39,Netherlands,52.132633,5.291266,15877494,17035938,41,0.932,20
40,Peru,-9.189967,-75.015152,15674241,32165485,42,0.48729999999999996,128
41,Chile,-35.675146999999996,-71.542969,14864456,18054726,43,0.8233,38
42,Kazakhstan,48.019573,66.923684,13913699,18204499,44,0.7643000000000001,61
43,Romania,45.943160999999996,24.96676,12545558,19679306,45,0.6375,93
44,Sudan,12.862807,30.217636,12512639,40533330,46,0.30870000000000003,153
45,Ghana,7.946527000000001,-1.0231940000000002,10922179,28833629,47,0.3788,140
